Year,National_Avg_Monsoon_Rainfall
1948,1397.3
1949,1636.4545454545455
1950,1629.5833333333333
1951,1506.923076923077
1952,1676.5833333333333
1953,1772.857142857143
1954,1779.6
1955,1803.6153846153845
1956,1965.8666666666666
1957,1277.9411764705883
1958,1213.8823529411766
1959,1716.8235294117646
1960,1602.8235294117646
1961,1582.2222222222222
1962,1383.6666666666667
1963,1647.235294117647
1964,1693.85
1965,2004.157894736842
1966,1554.5217391304348
1967,1494.095238095238
1968,1775.2
1969,1833.3636363636363
1970,1731.6818181818182
1971,1618.090909090909
1972,1145.5714285714287
1973,1363.2608695652175
1974,1900.7727272727273
1975,1340.695652173913
1976,1890.5833333333333
1977,1630.3214285714287
1978,1721.24
1979,1561.607142857143
1980,1290.4444444444443
1981,1598.6296296296296
1982,1942.2758620689656
1983,1767.344827586207
1984,2170.6206896551726
1985,1698.5333333333333
1986,1772.7333333333333
1987,2166.7096774193546
1988,1920.1290322580646
1989,1466.65625
1990,1658.15625
1991,1957.0882352941176
1992,1373.1470588235295
1993,1841.5588235294117
1994,1345.9411764705883
1995,1776.2727272727273
1996,1575.909090909091
1997,1812.939393939394
1998,1891.939393939394
1999,2031.1142857142856
2000,1658.4857142857143
2001,1713.9714285714285
2002,1954.5428571428572
2003,1591.8235294117646
2004,2214.323529411765
2005,1695.0294117647059
2006,1561.6176470588234
2007,2078.0588235294117
2008,1829.2285714285715
2009,1678.3428571428572
2010,1434.2
2011,2229.0
2012,1681.7714285714285
2013,1491.8285714285714
2014,570.2857142857143